CaseID,Consent,English_Fluency,Over_18,Age,Gender,Gender_text,Been_in_prison,Viol1_UH1_refined,Viol1_UH2_rational-and-logical,Viol1_UH3_sense-of-morality,Viol1_UH4_civilised,Viol1_HN1_open-minded,Viol1_HN2_emotionally-responsive,Viol1_HN3_depth-of-character,Viol1_HN4_interpersonally-warm,Viol1_harm,Viol2_UH1_refined,Viol2_UH2_rational-and-logical,Viol2_UH3_sense-of-morality,Viol2_UH4_civilised,Viol2_HN1_open-minded,Viol2_HN2_emotionally-responsive,Viol2_HN3_depth-of-character,Viol2_HN4_interpersonally-warm,Viol2_harm,Viol3_UH1_refined,Viol3_UH2_rational-and-logical,Viol3_UH3_sense-of-morality,Viol3_UH4_civilised,Viol3_HN1_open-minded,Viol3_HN2_emotionally-responsive,Viol3_HN3_depth-of-character,Viol3_HN4_interpersonally-warm,Viol3_harm,Viol4_UH1_refined,Viol4_UH2_rational-and-logical,Viol4_UH3_sense-of-morality,Viol4_UH4_civilised,Viol4_HN1_open-minded,Viol4_HN2_emotionally-responsive,Viol4_HN3_depth-of-character,Viol4_HN4_interpersonally-warm,Viol4_harm,Viol5_UH1_refined,Viol5_UH2_rational-and-logical,Viol5_UH3_sense-of-morality,Viol5_UH4_civilised,Viol5_HN1_open-minded,Viol5_HN2_emotionally-responsive,Viol5_U_HN3_depth-of-character,Viol5_HN4_interpersonally-warm,Viol5_harm,UH_mean,HN_mean,Harm_mean,Outlier_Animalistic_model,Outlier_Mechanistic_model
11,I agree to the above and consent to my participation in this study,Yes,Yes,33,Male,,No,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,71,72,73,21,22,21,21,71,15,20,21,24,5,16,6,20,18,67,0,0,0,0,0,0,0,0,100,15.35,9.75,76.4,No,No
12,I agree to the above and consent to my participation in this study,Yes,Yes,20,Male,,No,4,9,42,20,39,45,56,24,59,19,4,5,0,42,32,46,22,61,47,46,11,15,33,37,46,46,60,0,19,39,7,46,0,54,16,42,34,28,10,25,43,23,62,26,58,19.2,36.9,56,No,No
13,I agree to the above and consent to my participation in this study,Yes,Yes,42,Female,,No,15,10,22,14,26,82,34,33,32,19,16,36,9,25,87,41,23,62,9,16,26,9,21,70,30,15,66,12,23,31,17,27,89,41,20,64,20,9,15,12,17,94,39,14,87,17,41.4,62.2,No,No
14,I agree to the above and consent to my participation in this study,Yes,Yes,28,Female,,No,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,100,No,Yes
15,I agree to the above and consent to my participation in this study,Yes,Yes,21,Female,,No,28,27,38,21,38,66,54,36,72,6,18,26,14,45,89,47,15,86,15,23,43,14,35,74,67,25,67,29,39,47,21,44,75,46,41,72,37,14,43,24,43,31,72,23,68,26.35,48.3,73,No,No
16,I agree to the above and consent to my participation in this study,Yes,Yes,48,Female,,No,8,4,4,5,8,72,8,6,61,48,0,90,35,7,90,46,11,90,12,59,18,47,45,27,36,34,58,10,4,15,61,23,94,45,47,58,11,7,59,3,59,3,71,29,77,25,38.05,68.8,No,No
17,I agree to the above and consent to my participation in this study,Yes,Yes,27,Male,,No,38,68,36,69,73,33,76,62,100,70,33,67,33,63,24,29,25,59,70,22,25,26,64,32,31,72,30,24,26,33,16,22,89,76,67,6,63,25,73,66,24,81,34,67,86,44.15,52.2,56.2,No,No
18,I agree to the above and consent to my participation in this study,Yes,Yes,23,Male,,No,20,81,30,3,19,76,65,13,98,2,2,82,4,2,100,77,58,94,14,2,67,23,22,86,88,79,77,27,8,28,19,59,100,16,74,69,59,12,5,0,18,100,91,3,96,24.4,57.3,86.8,No,Yes
19,I agree to the above and consent to my participation in this study,Yes,Yes,20,Male,,No,22,18,29,7,49,66,48,15,76,27,9,4,2,30,96,55,12,81,22,20,7,18,46,49,54,8,72,46,52,42,47,43,83,58,38,57,27,5,33,16,48,87,49,49,77,22.65,49.15,72.6,No,No
20,I agree to the above and consent to my participation in this study,Yes,Yes,37,Female,,No,0,0,0,0,23,85,75,0,76,0,0,0,0,37,95,34,0,91,1,0,0,0,55,72,71,0,73,1,0,0,0,67,83,82,0,85,0,0,0,10,24,98,72,0,82,0.6,48.65,81.4,No,No
21,I agree to the above and consent to my participation in this study,Yes,Yes,25,Male,,No,20,0,52,51,50,35,38,42,51,0,0,0,0,0,0,0,0,76,42,26,51,12,38,38,51,51,69,35,52,51,39,52,52,50,36,50,26,14,21,23,35,28,32,27,53,25.75,32.75,59.8,No,No
22,I agree to the above and consent to my participation in this study,Yes,Yes,20,Female,,No,0,0,0,2,1,87,15,0,100,0,0,0,0,0,99,0,0,100,0,0,25,0,23,100,33,21,81,0,0,0,0,0,93,0,0,75,0,0,0,0,0,100,49,0,83,1.35,31.05,87.8,No,No
23,I agree to the above and consent to my participation in this study,Yes,Yes,30,Female,,No,0,0,0,0,0,0,0,0,98,0,0,0,3,9,0,0,2,91,0,1,1,1,0,3,1,0,97,2,2,3,0,1,3,2,1,98,0,0,0,0,0,0,1,0,100,0.65,1.15,96.8,No,No
24,I agree to the above and consent to my participation in this study,Yes,Yes,20,Male,,No,0,0,0,0,0,100,35,0,84,0,0,0,0,0,100,0,0,96,0,0,60,0,0,81,32,0,93,0,0,0,0,2,100,30,0,69,0,0,0,0,0,100,31,0,92,3,30.55,86.8,No,No
25,I agree to the above and consent to my participation in this study,Yes,Yes,21,Male,,No,35,34,34,17,56,41,45,23,64,44,44,27,44,36,41,50,40,70,18,23,0,29,43,22,45,31,100,50,37,41,30,46,12,44,36,61,36,42,44,35,46,8,53,47,67,33.2,38.25,72.4,No,No
26,I agree to the above and consent to my participation in this study,Yes,Yes,24,Male,,No,52,75,51,0,53,100,52,19,78,52,0,0,0,0,73,51,0,100,51,63,35,21,51,78,51,0,80,51,13,22,24,50,100,51,24,70,52,27,24,0,51,76,51,29,71,30.65,48,79.8,No,No
27,I agree to the above and consent to my participation in this study,Yes,Yes,23,Male,,No,65,38,37,62,34,70,64,45,47,24,7,13,17,16,87,25,14,89,65,70,66,62,41,63,68,61,41,41,13,25,25,39,92,64,70,67,40,67,63,60,63,64,46,65,44,43,54.55,57.6,No,No
28,I agree to the above and consent to my participation in this study,Yes,Yes,19,Male,,No,0,0,0,0,0,29,79,30,93,28,0,0,0,35,12,64,18,90,12,28,27,0,52,11,52,28,70,18,26,40,17,18,6,64,27,66,0,67,0,0,0,0,27,0,87,13.15,27.6,81.2,No,No
29,I agree to the above and consent to my participation in this study,Yes,Yes,18,Female,,No,38,20,53,67,17,35,67,5,38,8,12,2,25,9,10,59,5,76,3,16,4,2,0,0,44,0,85,27,5,46,44,28,35,65,14,59,15,12,20,18,18,14,56,3,73,21.85,24.2,66.2,No,No
30,I agree to the above and consent to my participation in this study,Yes,Yes,25,Female,,No,23,0,0,0,0,0,0,0,100,10,15,0,12,0,65,40,0,65,0,0,1,0,0,0,25,0,100,19,26,38,25,39,66,61,30,69,0,0,0,0,0,57,71,0,94,8.45,22.7,85.6,No,No
31,I agree to the above and consent to my participation in this study,Yes,Yes,26,Male,,No,0,11,14,0,0,71,12,2,72,0,0,0,0,0,69,0,12,100,0,13,8,15,0,64,12,0,85,0,0,0,0,0,78,0,0,86,0,0,0,0,0,84,0,0,87,3.05,20.2,86,No,No
32,I agree to the above and consent to my participation in this study,Yes,Yes,30,Female,,No,0,0,0,0,0,17,5,0,89,0,0,5,0,0,39,27,0,88,2,2,13,11,50,15,49,9,49,28,0,51,2,16,50,50,33,23,35,9,36,4,23,68,52,29,61,9.9,26.6,62,No,No
33,I agree to the above and consent to my participation in this study,Yes,Yes,63,Female,,No,6,25,19,39,19,19,18,19,64,3,0,0,2,2,4,8,2,91,6,7,5,14,6,6,6,6,87,11,11,16,11,18,18,20,19,76,11,7,11,18,18,11,33,18,78,11.1,13.5,79.2,No,No
34,I agree to the above and consent to my participation in this study,Yes,Yes,20,Female,,No,0,0,0,0,0,0,0,3,95,0,0,0,0,0,0,0,0,100,0,0,0,0,0,2,1,0,84,0,0,0,0,0,56,0,15,72,0,0,0,0,16,19,0,3,71,0,5.75,84.4,No,No
35,I agree to the above and consent to my participation in this study,Yes,Yes,36,Female,,No,0,14,6,12,31,72,23,0,71,0,0,0,0,16,90,0,0,85,17,28,6,19,29,40,8,0,94,0,8,32,37,28,100,32,1,66,0,0,3,10,33,100,14,0,77,9.6,30.85,78.6,No,No
36,I agree to the above and consent to my participation in this study,Yes,Yes,21,Female,,No,0,0,0,0,0,0,100,0,64,0,0,0,36,0,0,100,0,63,0,0,0,0,0,0,100,0,68,0,0,0,0,0,0,100,0,72,6,0,0,0,0,0,65,0,74,2.1,23.25,68.2,No,No
37,I agree to the above and consent to my participation in this study,Yes,Yes,26,Female,,No,0,0,0,0,0,58,22,0,62,0,0,0,0,0,68,0,0,91,0,17,7,0,31,64,29,0,75,0,0,7,0,12,60,22,6,71,0,0,0,0,0,52,0,0,82,1.55,21.2,76.2,No,No
38,I agree to the above and consent to my participation in this study,Yes,Yes,44,Female,,No,1,0,0,0,1,0,1,0,91,3,2,3,2,2,3,3,2,100,1,1,2,0,2,0,0,1,100,1,0,0,0,1,0,0,0,98,1,0,1,1,0,2,0,0,100,0.95,0.9,97.8,No,No
39,I agree to the above and consent to my participation in this study,Yes,Yes,27,Female,,No,0,30,4,15,0,71,13,0,68,0,0,0,0,0,62,0,0,81,5,24,5,15,14,52,25,4,82,5,2,3,0,0,48,17,1,55,2,21,0,9,24,39,13,5,66,7,19.4,70.4,No,No
40,I agree to the above and consent to my participation in this study,Yes,Yes,27,Female,,No,8,7,13,20,34,69,35,13,93,16,16,40,18,38,72,47,47,93,0,1,11,6,39,64,45,23,93,34,6,22,35,36,60,34,35,89,21,2,5,22,25,69,40,25,97,15.15,42.5,93,No,No
41,I agree to the above and consent to my participation in this study,Yes,Yes,23,Male,,No,0,15,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,62,0.75,0,62.2,No,Yes
42,I agree to the above and consent to my participation in this study,Yes,Yes,22,Female,,No,8,4,0,0,14,61,44,2,82,8,0,10,0,9,38,54,0,73,12,0,0,0,0,18,41,0,96,14,14,17,18,19,34,17,13,58,22,8,10,11,12,21,13,22,66,7.8,21.6,75,No,No
43,I agree to the above and consent to my participation in this study,Yes,Yes,24,Female,,No,41,14,43,43,38,42,29,40,36,15,41,5,23,34,8,37,11,58,25,66,25,25,45,40,38,39,45,27,25,36,16,15,36,45,33,47,19,20,45,31,43,32,52,28,49,29.25,34.25,47,No,No
44,I agree to the above and consent to my participation in this study,Yes,Yes,22,Male,,No,29,31,33,31,30,37,30,51,79,27,16,17,20,29,69,89,52,65,29,26,27,28,29,28,28,51,79,33,34,18,14,13,17,39,51,77,21,20,21,26,21,23,72,50,74,25.05,40.45,74.8,No,No
45,I agree to the above and consent to my participation in this study,Yes,Yes,20,Male,,No,15,37,35,20,29,60,37,23,81,54,12,24,11,33,62,31,47,54,45,38,61,32,36,74,68,32,38,29,25,60,6,35,44,41,35,38,24,0,12,0,25,63,43,31,66,27,42.45,55.4,No,No
46,I agree to the above and consent to my participation in this study,Yes,Yes,20,Male,,No,7,9,0,0,0,95,24,0,71,96,9,7,8,4,92,7,5,59,5,5,5,3,4,100,9,8,63,12,7,8,5,6,77,6,6,44,7,0,0,0,0,80,92,5,73,9.65,31,62,No,No
47,I agree to the above and consent to my participation in this study,Yes,Yes,32,Male,,No,39,26,42,45,71,57,44,41,89,27,32,33,22,27,43,40,24,69,58,60,60,55,62,60,60,36,89,62,59,79,61,66,62,60,63,26,59,42,44,56,58,55,59,41,41,48.05,51.45,62.8,No,No
48,I agree to the above and consent to my participation in this study,Yes,Yes,22,Male,,No,17,0,0,0,19,0,69,19,73,0,0,0,0,0,0,0,0,94,15,6,17,1,7,32,18,15,74,16,15,53,16,24,77,21,46,36,2,0,13,4,11,82,4,0,94,8.75,22.2,74.2,No,No
49,I agree to the above and consent to my participation in this study,Yes,Yes,41,Female,,No,0,0,4,0,33,8,0,0,98,7,0,0,0,36,34,38,0,80,0,0,17,0,19,34,14,0,87,0,16,14,0,17,47,31,5,59,0,0,0,16,18,1,8,0,99,3.7,17.15,84.6,No,No
50,I agree to the above and consent to my participation in this study,Yes,Yes,18,Male,,No,5,0,0,0,14,11,19,0,100,8,0,11,5,9,71,23,20,86,8,0,0,21,0,71,38,6,60,27,0,8,0,0,74,0,18,82,12,11,17,0,7,33,16,5,62,6.65,21.75,78,No,No
51,I agree to the above and consent to my participation in this study,Yes,Yes,57,Female,,No,0,0,0,0,0,52,0,0,93,0,0,0,0,0,83,0,0,94,0,0,5,0,0,61,0,0,91,0,0,3,3,1,68,0,1,89,0,0,0,0,0,70,0,0,91,0.55,16.8,91.6,No,No
52,I agree to the above and consent to my participation in this study,Yes,Yes,24,Male,,No,28,27,28,22,22,64,16,18,75,0,0,0,0,0,0,0,0,100,24,25,10,23,31,21,18,31,69,6,34,34,18,73,75,68,26,0,23,0,10,9,71,69,52,17,82,16.05,33.6,65.2,No,No
53,I agree to the above and consent to my participation in this study,Yes,Yes,22,Female,,No,41,26,62,43,42,42,39,66,37,34,67,26,43,43,42,40,43,59,41,86,44,59,46,43,38,41,61,47,48,41,47,63,41,40,47,40,42,39,42,46,41,35,45,31,64,46.2,43.4,52.2,No,No
54,I agree to the above and consent to my participation in this study,Yes,Yes,24,"Other, please specify:",Trans man,No,14,21,10,8,1,41,15,13,64,12,13,3,11,11,41,25,8,66,5,15,8,7,4,38,21,10,53,9,13,9,7,12,18,13,7,59,22,24,17,15,23,48,35,10,61,12.15,19.7,60.6,No,No
55,I agree to the above and consent to my participation in this study,Yes,Yes,28,Male,,No,0,0,0,0,0,70,0,0,60,0,0,0,0,22,69,12,0,78,0,9,0,0,6,15,5,0,74,0,14,31,0,13,18,0,31,33,10,0,23,22,0,29,39,34,37,5.45,18.15,56.4,No,No
56,I agree to the above and consent to my participation in this study,Yes,Yes,18,Female,,No,16,7,16,0,22,5,5,42,100,47,25,0,0,0,100,64,62,83,39,42,24,29,40,27,45,40,67,33,24,0,0,0,18,0,33,73,15,28,12,22,23,30,20,18,71,18.95,29.7,78.8,No,No
57,I agree to the above and consent to my participation in this study,Yes,Yes,33,Male,,No,6,7,6,5,12,66,18,0,69,68,0,20,15,17,59,67,0,100,0,0,0,0,0,0,0,0,100,11,0,0,7,0,72,0,7,87,40,20,0,0,30,60,65,34,100,10.25,25.35,91.2,No,No
58,I agree to the above and consent to my participation in this study,Yes,Yes,22,Male,,No,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,0,0,100,0,25,100,No,No
59,I agree to the above and consent to my participation in this study,Yes,Yes,33,Female,,No,34,36,42,37,52,52,48,51,70,26,29,25,20,52,74,23,22,78,46,40,52,40,35,52,42,53,51,43,46,52,52,59,58,43,57,46,52,46,52,52,52,66,57,51,48,41.1,49.95,58.6,No,No
60,I agree to the above and consent to my participation in this study,Yes,Yes,19,Female,,No,3,0,8,20,47,90,60,4,41,5,3,0,0,5,92,22,56,62,54,77,37,28,55,56,70,40,87,34,27,32,13,44,87,55,44,43,24,4,21,7,52,91,60,53,74,19.85,54.15,61.4,No,No
61,I agree to the above and consent to my participation in this study,Yes,Yes,19,Female,,No,2,23,29,14,17,38,14,9,57,0,0,0,6,10,5,6,6,63,23,5,10,9,18,0,5,28,63,55,8,31,13,5,89,64,36,52,1,11,7,0,11,100,6,3,78,12.35,23.5,62.6,No,No
62,I agree to the above and consent to my participation in this study,Yes,Yes,26,Female,,No,0,0,0,0,0,7,0,0,56,0,0,0,0,0,13,0,0,62,0,5,2,0,3,10,20,0,55,0,0,0,0,2,21,0,0,55,0,0,0,0,5,62,8,0,61,0.35,7.55,57.8,Yes,Yes
63,I agree to the above and consent to my participation in this study,Yes,Yes,22,Male,,No,37,13,0,0,18,51,25,21,89,30,0,0,0,35,70,17,14,100,24,13,0,0,25,61,7,16,100,35,0,0,0,22,75,24,16,100,32,0,0,0,36,51,24,13,100,9.2,31.05,97.8,No,No
64,I agree to the above and consent to my participation in this study,Yes,Yes,45,Male,,No,48,6,16,29,52,64,18,51,62,18,5,18,5,51,78,50,52,76,23,48,52,40,39,53,40,53,69,16,15,36,32,49,59,46,52,51,7,9,13,13,26,54,10,54,57,22.45,47.55,63,No,No
65,I agree to the above and consent to my participation in this study,Yes,Yes,28,Female,,No,0,0,8,0,0,43,0,0,79,0,0,0,0,0,30,23,0,78,0,0,0,0,0,35,8,0,100,0,0,0,0,0,31,0,0,67,0,0,0,0,0,36,0,0,100,0.4,10.3,84.8,No,No
66,I agree to the above and consent to my participation in this study,Yes,Yes,23,Female,,No,0,0,5,0,0,53,1,0,83,0,0,0,0,0,0,0,0,95,0,0,0,0,0,55,0,0,81,0,0,0,0,0,73,0,0,79,0,0,0,0,0,0,0,0,100,0.25,9.1,87.6,No,No
67,I agree to the above and consent to my participation in this study,Yes,Yes,40,Male,,No,38,27,5,4,10,15,4,8,86,12,7,7,5,6,9,10,91,80,6,9,4,6,2,5,3,3,97,5,7,0,9,2,20,4,4,100,15,1,0,5,5,2,4,5,90,8.6,10.6,90.6,No,No
68,I agree to the above and consent to my participation in this study,Yes,Yes,20,Female,,No,22,22,28,70,27,27,27,28,68,25,28,32,23,29,26,28,35,64,29,27,26,37,36,58,24,23,59,23,28,65,29,26,77,64,31,34,15,15,25,23,13,20,19,20,30,29.6,31.9,51,No,No
69,I agree to the above and consent to my participation in this study,Yes,Yes,19,Female,,No,0,0,0,0,0,0,0,0,88,0,9,7,0,23,14,13,34,47,0,0,0,0,2,0,0,0,67,32,36,33,29,38,38,54,12,20,22,0,0,5,25,33,29,0,40,8.65,15.75,52.4,No,No
70,I agree to the above and consent to my participation in this study,Yes,Yes,22,Female,,No,9,9,8,8,8,92,9,10,97,10,9,10,8,9,89,10,9,100,11,20,17,17,15,75,19,15,97,11,10,9,9,10,87,14,12,83,6,9,17,6,18,91,41,17,85,10.65,32.5,92.4,No,No
71,I agree to the above and consent to my participation in this study,Yes,Yes,19,Male,,No,15,22,31,16,28,34,20,22,75,0,29,29,41,17,4,9,0,89,33,24,38,25,27,31,14,29,84,16,19,23,26,17,61,0,8,58,0,0,0,8,3,67,70,15,75,19.75,23.8,76.2,No,No
72,I agree to the above and consent to my participation in this study,Yes,Yes,20,Female,,No,0,4,0,0,0,0,9,0,78,0,0,0,0,0,0,0,0,90,0,0,0,0,0,4,0,0,69,0,1,1,0,0,7,9,4,65,0,0,0,0,0,6,5,0,74,0.3,2.2,75.2,No,No
73,I agree to the above and consent to my participation in this study,Yes,Yes,25,Male,,No,42,42,31,46,39,28,47,33,65,47,13,9,11,17,27,23,10,84,31,38,18,17,35,27,37,17,68,17,8,21,17,17,65,15,21,63,28,7,8,7,7,40,33,8,90,22.9,27.3,74,No,No
74,I agree to the above and consent to my participation in this study,Yes,Yes,35,Male,,No,0,0,0,0,0,100,0,0,100,19,0,0,69,0,100,62,39,100,79,100,72,62,70,74,75,63,100,0,0,0,0,0,100,0,0,100,0,0,0,0,0,100,48,0,100,20.05,41.55,100,No,Yes
75,I agree to the above and consent to my participation in this study,Yes,Yes,44,Male,,No,30,22,18,11,31,38,31,30,63,27,19,29,25,35,70,40,32,67,28,31,21,32,26,27,34,31,100,36,34,37,28,36,60,31,35,55,22,20,27,18,22,64,37,20,77,25.75,36.5,72.4,No,No
76,I agree to the above and consent to my participation in this study,Yes,Yes,22,Male,,No,7,33,6,9,10,7,16,9,83,8,6,3,10,8,15,7,9,84,5,27,2,9,6,35,11,5,79,13,14,32,12,13,9,12,7,65,22,8,10,5,16,85,10,0,96,12.05,14.5,81.4,No,No
77,I agree to the above and consent to my participation in this study,Yes,Yes,22,Female,,No,0,1,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,100,0,0,0,0,0,5,0,0,96,0,0,1,0,0,7,0,0,68,0,0,0,0,0,1,0,0,95,0.1,0.65,91.4,No,No
78,I agree to the above and consent to my participation in this study,Yes,Yes,23,Female,,No,19,22,29,30,73,78,78,23,56,36,41,32,44,64,86,84,55,57,39,33,30,23,62,34,69,25,87,35,34,40,42,63,74,78,28,39,12,18,29,31,66,85,79,1,60,30.95,60.25,59.8,No,No
79,I agree to the above and consent to my participation in this study,Yes,Yes,21,Female,,No,19,37,19,10,20,60,60,21,86,7,6,7,3,7,80,51,19,84,11,24,18,22,32,20,63,20,76,7,28,18,7,18,77,28,18,71,10,0,7,5,0,70,65,11,80,13.25,37,79.4,No,No
80,I agree to the above and consent to my participation in this study,Yes,Yes,25,Female,,No,10,14,14,17,65,11,79,17,53,34,7,13,29,16,24,72,38,59,23,21,10,6,22,23,83,27,65,37,37,32,32,44,27,63,52,40,13,16,12,3,41,14,81,14,55,19,40.65,54.4,No,No
81,I agree to the above and consent to my participation in this study,Yes,Yes,25,Female,,No,0,0,0,0,0,33,55,0,18,0,0,0,0,0,55,56,0,56,0,0,0,0,0,44,46,0,32,0,10,15,14,0,57,29,0,2,0,0,0,0,0,52,0,0,58,1.95,21.35,33.2,Yes,Yes
82,I agree to the above and consent to my participation in this study,Yes,Yes,24,Female,,No,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,91,0,0,85,No,No
83,I agree to the above and consent to my participation in this study,Yes,Yes,22,Male,,No,5,14,24,39,32,16,11,17,71,8,12,31,12,26,12,36,7,71,16,23,24,34,25,41,36,34,83,26,11,42,25,25,37,37,37,62,18,19,24,10,23,35,29,22,70,20.85,26.9,71.4,No,No
84,I agree to the above and consent to my participation in this study,Yes,Yes,23,Male,,No,23,0,14,13,40,14,33,10,72,17,0,14,8,25,0,22,9,83,33,18,21,12,33,13,34,21,77,17,1,16,11,36,15,31,10,62,14,0,8,11,14,0,18,9,74,12.55,19.35,73.6,No,No
85,I agree to the above and consent to my participation in this study,Yes,Yes,23,Male,,No,0,0,23,0,51,0,51,0,76,0,0,0,0,23,0,51,0,100,51,51,51,22,51,0,50,0,71,0,23,50,0,49,0,24,11,80,0,0,13,0,0,0,0,0,100,14.2,18.05,85.4,No,No
86,I agree to the above and consent to my participation in this study,Yes,Yes,18,Female,,No,19,8,23,31,38,65,64,24,73,38,18,27,17,18,76,75,33,75,35,36,34,51,51,71,57,35,79,28,22,45,35,19,77,65,29,65,22,13,35,22,18,71,23,35,66,27.95,47.2,71.6,No,No
87,I agree to the above and consent to my participation in this study,Yes,Yes,53,Female,,No,2,17,0,0,52,60,3,8,55,15,22,29,13,52,65,11,3,66,0,39,0,0,24,75,18,5,71,7,46,2,24,52,76,25,8,54,1,0,0,0,35,92,15,8,74,10.85,34.35,64,No,No
88,I agree to the above and consent to my participation in this study,Yes,Yes,27,Female,,No,100,2,17,34,32,100,24,34,83,100,6,6,4,7,100,7,6,100,97,6,5,5,5,100,5,2,78,100,7,5,6,4,6,9,4,71,94,9,6,8,5,94,9,3,63,30.85,27.8,79,No,No
