CaseID,Desirability_condition,Consent,English_Fluency,Over_18,Age,Gender,Gender_text,Been_in_prison,Thief1_UH1_cultured/corrupt,Thief1_UH2_civilised/controlling,Thief1_UH3_sophisticated/arrogant,Thief1_UH4_moral/bitter,Thief1_HN1_generous/jealous,Thief1_HN2_open-minded/selfish,Thief1_HN3_warm/spiteful,Thief1_HN4_kind/cruel,Thief1_harm,Thief2_UH1_cultured/corrupt,Thief2_UH2_civilised/controlling,Thief2_UH3_sophisticated/arrogant,Thief2_UH4_moral/bitter,Thief2_HN1_generous/jealous,Thief2_HN2_open-minded/selfish,Thief2_HN3_warm/spiteful,Thief2_HN4_kind/cruel,Thief2_harm,Thief3_UH1_cultured/corrupt,Thief3_UH2_civilised/controlling,Thief3_UH3_sophisticated/arrogant,Thief3_UH4_moral/bitter,Thief3_HN1_generous/jealous,Thief3_HN2_open-minded/selfish,Thief3_HN3_warm/spiteful,Thief3_HN4_kind/cruel,Thief3_harm,Thief4_UH1_cultured/corrupt,Thief4_UH2_civilised/controlling,Thief4_UH3_sophisticated/arrogant,Thief4_UH4_moral/bitter,Thief4_HN1_generous/jealous,Thief4_HN2_open-minded/selfish,Thief4_HN3_warm/spiteful,Thief4_HN4_kind/cruel,Thief4_harm,Thief5_UH1_cultured/corrupt,Thief5_UH2_civilised/controlling,Thief5_UH3_sophisticated/arrogant,Thief5_UH4_moral/bitter,Thief5_HN1_generous/jealous,Thief5_HN2_open-minded/selfish,Thief5_HN3_warm/spiteful,Thief5_HN4_kind/cruel,Thief5_harm,UH_mean,HN_mean,Harm_mean,Outliers_Animalistic_model,Outliers_Mechanistic_model
18,0,I agree to the above and consent to my participation in this study,Yes,Yes,36,Female,,No,2,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,88,0.1,0,85,No,No
19,0,I agree to the above and consent to my participation in this study,Yes,Yes,30,Female,,No,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,32,0,0,45.8,Yes,Yes
20,0,I agree to the above and consent to my participation in this study,Yes,Yes,25,Male,,No,73,0,47,0,0,46,33,32,54,54,2,54,3,0,47,54,44,57,71,0,29,0,0,59,41,36,62,56,0,55,0,0,60,54,0,63,82,0,26,0,0,47,42,0,69,27.6,29.75,61,No,No
21,0,I agree to the above and consent to my participation in this study,Yes,Yes,22,Female,,No,9,10,10,9,0,13,11,0,81,0,6,9,0,0,0,0,0,92,11,12,26,14,3,18,8,17,76,9,0,10,0,0,30,0,0,76,12,18,18,0,0,20,8,0,70,9.15,6.4,79,No,No
22,0,I agree to the above and consent to my participation in this study,Yes,Yes,19,Female,,No,51,24,17,1,27,20,18,18,69,61,47,50,16,46,38,46,46,51,43,48,46,4,34,35,22,13,64,37,48,43,2,34,35,44,57,61,62,49,46,20,46,45,45,37,40,35.75,35.3,57,No,No
23,0,I agree to the above and consent to my participation in this study,Yes,Yes,23,Female,,No,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,71,1,3,0,1,10,30,2,1,23,0,1,0,0,0,0,0,0,65,0.3,2.15,46.4,Yes,No
24,0,I agree to the above and consent to my participation in this study,Yes,Yes,25,Female,,No,74,59,31,19,31,74,31,31,70,48,100,78,0,50,32,32,0,71,75,74,74,18,49,74,50,37,71,35,35,23,14,23,35,35,35,73,63,62,23,9,32,63,33,32,70,45.7,38.95,71,No,No
25,0,I agree to the above and consent to my participation in this study,Yes,Yes,40,Male,,No,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,83,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,60,60,76.6,Yes,Yes
26,0,I agree to the above and consent to my participation in this study,Yes,Yes,24,Female,,No,0,0,0,0,1,1,1,0,100,9,5,5,12,0,6,0,6,90,0,0,0,0,0,0,0,0,100,0,4,1,0,1,2,2,0,95,1,1,0,0,1,0,0,0,100,1.9,1.05,97,No,No
27,0,I agree to the above and consent to my participation in this study,Yes,Yes,23,Male,,No,12,0,83,0,45,93,12,43,56,28,0,95,0,27,71,0,11,74,37,0,87,0,17,79,30,20,69,24,0,8,0,24,74,17,0,60,86,13,100,16,22,83,40,19,40,29.45,36.35,59.8,No,No
28,0,I agree to the above and consent to my participation in this study,Yes,Yes,19,Male,,No,42,18,56,0,5,66,18,28,62,38,21,65,0,28,36,12,12,63,45,39,67,0,10,62,10,0,68,32,0,38,7,0,60,0,0,84,49,20,0,0,21,65,3,3,59,26.85,21.95,67.2,No,No
29,0,I agree to the above and consent to my participation in this study,Yes,Yes,24,Male,,No,22,25,23,23,37,23,24,25,30,30,94,0,100,100,37,76,4,100,100,100,100,100,100,100,100,100,11,72,100,63,33,66,29,25,85,11,25,9,32,77,5,100,67,0,11,56.4,55.15,32.6,Yes,Yes
30,0,I agree to the above and consent to my participation in this study,Yes,Yes,19,Female,,No,28,19,90,0,11,68,6,11,77,66,29,79,0,0,73,10,10,27,86,70,78,13,9,72,15,13,80,25,0,99,0,0,70,2,0,60,78,27,92,0,0,77,0,10,92,43.95,22.85,67.2,No,No
31,0,I agree to the above and consent to my participation in this study,Yes,Yes,29,Female,,No,6,14,30,0,6,19,0,12,57,0,0,0,0,0,0,0,0,67,3,0,0,3,5,0,0,4,74,2,6,6,2,0,5,5,6,66,6,6,7,5,5,9,6,4,64,4.8,4.3,65.6,No,No
32,0,I agree to the above and consent to my participation in this study,Yes,Yes,27,Male,,No,28,7,3,5,16,62,15,9,56,7,39,34,0,0,59,28,10,77,50,3,38,0,0,68,49,14,34,16,0,3,0,0,55,25,0,56,42,16,23,9,5,58,14,15,55,16.15,25.1,55.6,No,No
33,0,I agree to the above and consent to my participation in this study,Yes,Yes,25,Female,,No,2,51,51,0,0,70,0,0,99,0,32,25,1,0,72,51,0,100,24,37,33,0,0,71,19,3,100,0,51,28,1,0,70,51,1,100,9,1,40,9,0,88,43,0,78,19.75,26.95,95.4,No,No
34,0,I agree to the above and consent to my participation in this study,Yes,Yes,31,Male,,No,0,0,0,0,0,0,0,0,62,28,0,28,0,0,0,0,0,66,67,0,67,0,0,0,0,0,74,0,62,63,0,0,0,0,0,62,0,0,66,0,0,0,0,0,62,19.05,0,65.2,No,No
35,0,I agree to the above and consent to my participation in this study,Yes,Yes,29,Female,,No,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,82,0,0,81.8,No,No
36,0,I agree to the above and consent to my participation in this study,Yes,Yes,20,Female,,No,3,2,3,2,3,3,0,2,87,5,5,11,0,0,2,0,1,89,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,79,1,1,1,1,1,3,0,2,77,1.75,0.85,85.2,No,No
37,0,I agree to the above and consent to my participation in this study,Yes,Yes,51,Male,,No,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,1,0,74,0,0,0,0,0,0,0,0,72,0,0.05,69,No,No
38,0,I agree to the above and consent to my participation in this study,Yes,Yes,28,Female,,No,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,100,0,0,0,0,0,62,0,0,78,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,93,0,3.1,89.6,No,No
39,0,I agree to the above and consent to my participation in this study,Yes,Yes,30,Male,,No,4,4,31,4,3,31,31,12,58,0,0,40,0,0,2,0,0,71,0,0,50,0,6,8,2,8,62,4,14,32,0,10,51,12,11,49,2,1,47,0,7,9,7,9,64,11.65,10.95,60.8,No,No
40,0,I agree to the above and consent to my participation in this study,Yes,Yes,19,Female,,No,31,0,0,0,0,84,0,0,86,0,0,0,0,0,0,0,1,100,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100,0,0,96,1.55,14.25,96.4,No,No
41,0,I agree to the above and consent to my participation in this study,Yes,Yes,28,Male,,No,0,0,0,0,16,51,0,0,61,51,49,51,13,0,51,0,0,27,6,8,14,0,0,46,7,0,90,0,47,0,1,33,28,25,35,30,18,12,21,0,0,50,19,0,69,14.55,18.05,55.4,No,No
42,0,I agree to the above and consent to my participation in this study,Yes,Yes,19,Male,,No,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,92,0,32,33,0,0,7,0,0,58,0,0,0,0,0,0,0,0,69,0,3,29,0,0,0,0,1,42,4.85,0.4,66.4,No,No
43,0,I agree to the above and consent to my participation in this study,Yes,Yes,24,Male,,No,35,3,22,11,7,64,37,36,72,65,58,61,25,33,65,58,42,67,35,0,17,7,0,65,65,70,66,60,45,60,41,41,72,62,58,61,64,11,41,16,22,58,16,19,74,33.85,44.5,68,No,No
44,0,I agree to the above and consent to my participation in this study,Yes,Yes,26,Male,,No,37,16,43,0,8,65,17,5,57,20,0,39,0,0,33,27,6,72,38,17,68,0,35,61,45,28,68,21,31,67,41,34,62,39,18,27,25,25,11,0,22,65,28,29,57,24.95,31.35,56.2,No,No
45,0,I agree to the above and consent to my participation in this study,Yes,Yes,25,Male,,No,17,0,10,0,0,26,0,0,88,0,0,0,0,0,0,0,0,93,0,18,7,0,0,14,4,0,71,2,0,0,0,0,5,0,0,71,10,9,0,2,0,3,0,0,67,3.75,2.6,78,No,No
46,0,I agree to the above and consent to my participation in this study,Yes,Yes,31,Male,,No,27,2,78,0,4,59,18,30,69,62,30,21,2,18,13,8,15,99,38,23,64,12,34,34,38,41,93,43,22,26,11,0,41,14,24,95,37,37,90,18,35,64,15,30,89,32.15,26.75,89,No,No
47,0,I agree to the above and consent to my participation in this study,Yes,Yes,34,Female,,No,0,0,0,0,0,0,0,0,59,13,13,30,0,0,0,37,0,85,10,7,3,0,7,23,16,17,69,2,24,9,0,0,10,0,37,92,12,39,21,5,15,36,60,17,26,9.4,13.75,66.2,No,No
48,0,I agree to the above and consent to my participation in this study,Yes,Yes,44,Male,,No,0,5,0,2,0,16,17,0,78,13,0,0,0,0,14,15,4,73,0,0,0,0,6,21,29,0,31,0,0,0,0,0,0,0,0,25,0,0,8,0,6,14,15,4,12,1.4,8.05,43.8,Yes,No
49,0,I agree to the above and consent to my participation in this study,Yes,Yes,19,Female,,No,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,1,4,0,0,8,6,0,100,0,0,0,0,0,0,0,0,87,0.25,0.7,92,No,No
50,0,I agree to the above and consent to my participation in this study,Yes,Yes,20,Female,,No,0,0,0,0,0,0,3,0,73,0,0,3,0,0,0,0,0,100,0,4,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,100,0,9,0,0,0,4,0,0,96,0.8,0.35,93.6,No,No
51,0,I agree to the above and consent to my participation in this study,Yes,Yes,32,Male,,No,39,35,35,16,39,40,36,35,67,42,40,40,18,36,37,43,36,66,39,36,40,20,41,34,40,40,77,43,43,41,28,41,37,45,43,67,43,15,44,15,42,21,42,39,68,33.6,38.35,69,No,No
52,0,I agree to the above and consent to my participation in this study,Yes,Yes,37,Male,,No,4,0,3,5,4,0,5,3,67,4,1,7,0,2,5,2,0,71,18,8,19,0,18,22,12,13,53,15,8,7,10,9,13,8,7,68,7,7,15,3,7,9,5,4,72,7.05,7.4,66.2,No,No
53,0,I agree to the above and consent to my participation in this study,Yes,Yes,21,Male,,No,25,26,25,26,23,26,26,27,60,27,26,24,26,25,26,27,26,58,30,31,31,34,33,32,32,30,61,40,40,38,38,39,38,39,38,53,33,29,29,28,29,31,28,29,58,30.3,30.2,58,No,No
54,0,I agree to the above and consent to my participation in this study,Yes,Yes,39,Female,,No,0,0,0,0,0,0,0,0,100,0,5,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,91,6,0,32,0,0,13,0,0,77,0,0,0,0,0,0,0,0,87,2.15,0.65,88.6,No,No
55,0,I agree to the above and consent to my participation in this study,Yes,Yes,18,Male,,No,1,3,3,2,1,1,3,1,90,2,1,2,1,1,0,1,2,94,0,6,6,1,3,5,0,2,96,40,37,61,58,54,62,63,64,9,0,0,0,0,0,0,0,0,62,11.2,13.15,70.2,No,No
56,0,I agree to the above and consent to my participation in this study,Yes,Yes,24,Male,,No,38,42,43,26,46,38,38,43,0,36,45,46,43,35,46,41,33,0,47,40,54,25,27,50,45,44,0,37,48,46,30,35,46,28,54,0,37,46,45,38,33,44,41,46,0,40.6,40.65,0,Yes,Yes
57,0,I agree to the above and consent to my participation in this study,Yes,Yes,27,Male,,No,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,60,50,49,0,0,0,50,0,0,50,0,49,0,0,0,49,0,0,50,7.4,4.95,57.2,No,No
58,0,I agree to the above and consent to my participation in this study,Yes,Yes,21,Male,,No,20,0,6,0,0,21,12,0,72,0,2,21,0,0,1,4,0,65,0,4,66,0,0,21,0,0,79,0,6,19,0,6,0,11,0,64,2,0,5,0,0,12,2,0,56,7.55,4.5,67.2,No,No
59,0,I agree to the above and consent to my participation in this study,Yes,Yes,27,Male,,No,3,6,0,0,20,60,3,5,31,23,21,27,0,0,18,0,0,65,61,28,58,2,8,44,22,18,58,0,4,0,0,0,5,0,0,67,47,18,65,0,7,26,0,0,41,18.15,11.8,52.4,No,No
60,0,I agree to the above and consent to my participation in this study,Yes,Yes,18,Male,,No,49,20,24,10,30,2,21,50,44,1,4,59,0,0,24,23,14,45,37,4,29,0,5,20,24,22,41,3,13,6,0,0,0,10,0,33,41,0,52,0,23,21,12,0,37,17.6,15.05,40,No,No
61,0,I agree to the above and consent to my participation in this study,Yes,Yes,25,Female,,No,0,0,0,0,0,10,0,0,63,16,0,2,0,0,59,0,0,58,0,0,0,0,0,0,0,0,61,0,0,0,0,0,7,0,0,65,10,0,0,0,0,71,24,35,59,1.4,10.3,61.2,No,No
62,0,I agree to the above and consent to my participation in this study,Yes,Yes,21,Male,,No,51,39,51,12,27,28,51,12,61,50,40,50,10,14,35,39,23,64,51,51,51,8,20,51,21,41,76,51,33,42,21,18,25,35,8,56,49,39,50,22,32,39,39,40,49,38.55,29.9,61.2,No,No
63,0,I agree to the above and consent to my participation in this study,Yes,Yes,22,Male,,No,25,11,21,17,12,6,6,7,49,83,100,20,27,78,80,100,86,12,19,31,67,20,10,14,20,22,61,36,68,37,0,78,66,100,88,18,16,17,14,65,7,6,6,15,58,34.7,40.35,39.6,No,No
64,0,I agree to the above and consent to my participation in this study,Yes,Yes,20,Female,,No,45,45,45,35,46,47,46,45,58,5,6,6,5,4,6,6,4,63,50,45,44,36,45,63,37,42,59,3,4,3,0,0,4,4,4,69,53,43,53,43,44,53,38,39,64,28.45,28.85,62.6,No,No
65,0,I agree to the above and consent to my participation in this study,Yes,Yes,37,Male,,No,20,18,15,0,7,50,38,9,58,43,12,34,0,42,51,17,29,70,19,5,8,0,0,60,20,0,68,35,57,20,0,39,51,51,57,47,10,19,8,0,21,40,28,0,51,16.15,30.5,58.8,No,No
66,1,I agree to the above and consent to my participation in this study,Yes,Yes,23,"Other, please specify:",Non-binary,No,18,12,59,18,63,64,9,24,31,88,67,79,8,4,100,63,100,74,85,71,85,35,34,84,35,62,70,35,31,69,32,35,75,34,40,39,5,5,88,73,86,85,35,68,57,48.15,55,54.2,No,No
67,1,I agree to the above and consent to my participation in this study,Yes,Yes,32,Male,,No,51,53,73,51,51,62,50,63,73,79,54,79,51,51,63,54,59,76,75,54,53,49,50,64,53,64,64,79,66,80,51,51,79,51,64,76,76,54,76,51,51,65,53,64,77,62.75,58.1,73.2,No,No
68,1,I agree to the above and consent to my participation in this study,Yes,Yes,26,Male,,No,100,60,67,56,89,94,94,73,56,100,55,69,69,65,100,95,100,68,92,53,52,72,59,99,82,72,70,71,54,56,62,63,85,65,56,54,100,53,54,66,91,96,91,56,62,68.05,81.25,62,No,No
69,1,I agree to the above and consent to my participation in this study,Yes,Yes,23,Male,,No,32,65,80,60,94,65,56,70,55,97,32,35,30,81,89,56,63,59,78,43,70,45,59,35,54,54,80,75,23,59,47,66,80,46,45,32,32,37,69,64,65,52,60,70,66,53.65,63,58.4,No,No
70,1,I agree to the above and consent to my participation in this study,Yes,Yes,25,Female,,No,61,49,50,48,27,90,47,73,58,96,74,50,72,50,96,77,78,84,59,71,59,54,50,79,55,61,69,69,63,70,74,52,70,60,74,68,59,50,51,50,74,71,59,58,63,61.45,65.05,68.4,No,No
71,1,I agree to the above and consent to my participation in this study,Yes,Yes,23,Male,,No,58,50,51,50,71,50,68,58,62,100,58,100,59,52,100,64,55,77,100,60,100,53,55,100,56,54,83,72,54,51,52,51,82,53,59,69,63,51,52,52,85,54,60,50,66,64.3,63.85,71.4,No,No
72,1,I agree to the above and consent to my participation in this study,Yes,Yes,30,Male,,No,95,88,89,28,37,94,78,70,69,80,77,81,97,77,79,72,81,86,74,59,82,78,95,76,90,68,82,75,78,79,87,83,87,62,76,80,74,23,78,100,67,76,69,78,82,76.1,75.75,79.8,No,No
73,1,I agree to the above and consent to my participation in this study,Yes,Yes,19,Female,,No,89,18,88,31,79,84,82,93,95,74,40,74,65,88,96,71,83,77,85,78,87,83,17,72,85,87,93,78,15,78,84,83,83,36,77,72,82,24,64,79,24,84,83,90,87,65.8,74.85,84.8,No,No
74,1,I agree to the above and consent to my participation in this study,Yes,Yes,38,Male,,No,52,50,50,50,50,70,58,58,61,74,51,50,51,51,77,69,64,68,63,50,50,50,50,76,57,64,71,64,51,50,50,51,69,58,62,65,54,50,54,50,50,63,54,57,63,53.2,60.4,65.6,No,No
75,1,I agree to the above and consent to my participation in this study,Yes,Yes,24,Female,,No,51,48,55,59,62,100,60,73,58,100,51,62,56,30,100,27,87,73,89,48,59,41,41,100,41,67,74,82,48,55,57,52,100,53,69,58,65,51,66,77,92,82,76,71,51,61,69.15,62.8,No,No
76,1,I agree to the above and consent to my participation in this study,Yes,Yes,19,Female,,No,65,37,52,72,48,91,59,55,54,75,44,51,64,34,68,51,60,65,79,45,53,46,40,94,64,77,70,90,45,47,83,44,92,56,70,80,40,34,53,68,81,76,45,47,56,57.15,62.6,65,No,No
77,1,I agree to the above and consent to my participation in this study,Yes,Yes,29,Male,,No,0,20,12,23,74,16,29,14,65,100,75,77,22,13,92,23,80,76,11,15,24,21,13,84,68,58,83,95,77,14,19,4,91,25,77,92,12,69,20,76,85,95,81,63,95,39.1,54.25,82.2,Yes,No
78,1,I agree to the above and consent to my participation in this study,Yes,Yes,31,Male,,No,94,66,71,66,63,40,45,65,30,61,22,74,68,39,36,72,72,32,33,40,60,62,34,67,41,73,27,100,65,90,64,62,61,74,66,32,75,33,33,67,62,76,61,24,41,62.2,56.65,32.4,No,Yes
79,1,I agree to the above and consent to my participation in this study,Yes,Yes,20,Male,,No,37,36,64,73,81,100,56,79,60,59,59,64,72,61,100,41,75,58,44,63,46,56,89,58,63,62,72,61,42,76,65,34,100,60,100,74,47,39,63,47,100,77,66,57,53,55.65,72.95,63.4,No,No
80,1,I agree to the above and consent to my participation in this study,Yes,Yes,27,Female,,No,83,72,60,58,84,100,66,65,69,100,76,99,86,79,100,94,96,97,69,90,82,84,84,100,56,79,81,98,95,97,91,37,100,91,98,94,80,100,64,80,97,96,71,74,82,83.2,83.35,84.6,No,No
81,1,I agree to the above and consent to my participation in this study,Yes,Yes,20,Male,,No,60,72,81,80,67,84,69,100,77,100,92,87,97,64,96,76,55,87,54,70,100,63,77,81,89,73,82,100,75,100,77,66,100,95,100,94,72,9,90,94,55,74,60,92,65,78.65,78.65,81,No,No
82,1,I agree to the above and consent to my participation in this study,Yes,Yes,23,"Other, please specify:",nonbinary,No,89,38,70,86,86,100,77,89,75,100,100,100,100,58,100,59,100,91,100,85,85,63,59,80,61,66,73,60,40,37,75,64,67,59,37,37,70,57,89,34,77,88,37,82,66,73.9,72.3,68.4,No,No
83,1,I agree to the above and consent to my participation in this study,Yes,Yes,22,Male,,No,68,57,68,57,56,81,58,66,60,64,71,60,60,61,100,58,79,75,65,78,63,17,17,73,60,57,51,56,34,35,61,63,43,45,50,38,63,78,86,63,74,76,64,45,55,60.2,61.3,55.8,No,No
84,1,I agree to the above and consent to my participation in this study,Yes,Yes,19,Male,,No,71,17,88,66,100,87,44,33,37,22,57,100,91,8,100,75,88,83,22,0,89,63,64,80,73,26,62,66,22,76,67,0,81,81,27,64,10,0,84,26,75,84,86,66,77,51.85,63.9,64.6,No,No
85,1,I agree to the above and consent to my participation in this study,Yes,Yes,19,Male,,No,82,42,59,60,65,82,63,36,59,83,59,65,59,34,88,65,79,70,76,73,71,59,53,63,73,69,84,82,55,79,82,39,97,57,92,65,62,63,80,63,90,70,65,55,73,67.7,66.75,70.2,No,No
86,1,I agree to the above and consent to my participation in this study,Yes,Yes,24,Female,,No,42,38,65,44,83,73,36,59,71,62,42,63,38,66,65,67,40,100,61,46,20,24,33,60,58,46,84,44,44,44,37,37,53,38,42,59,57,8,31,17,63,57,43,61,65,41.35,54,75.8,No,No
